series_id,source,source_key,title,description,unit,frequency,seasonal_adj,country,category,active
THREEFYTP10,fred,THREEFYTP10,US 10Y Term Premium (ACM),ACM term premium on a 10-year zero coupon bond,percent,D,false,US,term_premium,true
THREEFYTP5,fred,THREEFYTP5,US 5Y Term Premium (ACM),ACM term premium on a 5-year zero coupon bond,percent,D,false,US,term_premium,true
T5YIE,fred,T5YIE,US 5Y Breakeven Inflation,5-year breakeven inflation rate (TIPS),percent,D,false,US,inflation_expectation,true
T10YIE,fred,T10YIE,US 10Y Breakeven Inflation,10-year breakeven inflation rate (TIPS),percent,D,false,US,inflation_expectation,true
T5YIFR,fred,T5YIFR,US 5Y5Y Forward Inflation,5-year 5-year forward inflation expectation rate,percent,D,false,US,inflation_expectation,true
BAA10Y,fred,BAA10Y,Moody's Baa - 10Y Spread,Moody's seasoned Baa corporate yield relative to 10Y Treasury,percent,D,false,US,credit,true
AAA10Y,fred,AAA10Y,Moody's Aaa - 10Y Spread,Moody's seasoned Aaa corporate yield relative to 10Y Treasury,percent,D,false,US,credit,true
BAMLH0A0HYM2,fred,BAMLH0A0HYM2,US High Yield OAS,ICE BofA US High Yield Index option-adjusted spread,percent,D,false,US,credit,true
BAMLC0A0CM,fred,BAMLC0A0CM,US IG Corporate OAS,ICE BofA US Corporate Index option-adjusted spread,percent,D,false,US,credit,true
STLFSI4,fred,STLFSI4,St. Louis Fed Financial Stress,St. Louis Fed Financial Stress Index,index,W,false,US,risk,true
KCFSI,fred,KCFSI,Kansas City Financial Stress,Kansas City Financial Stress Index,index,M,false,US,risk,true
USEPUINDXD,fred,USEPUINDXD,US Economic Policy Uncertainty,Economic Policy Uncertainty Index for United States,index,D,false,US,uncertainty,true
CPIAUCSL,fred,CPIAUCSL,US CPI,CPI for all urban consumers: all items,Index 1982-1984=100,M,false,US,inflation,true
CPILFESL,fred,CPILFESL,US Core CPI,CPI for all urban consumers: all items less food and energy,Index 1982-1984=100,M,false,US,inflation,true
PCEPI,fred,PCEPI,US PCE Price Index,Personal consumption expenditures chain-type price index,Index 2017=100,M,false,US,inflation,true
PCEPILFE,fred,PCEPILFE,US Core PCE,Personal consumption expenditures excluding food and energy,Index 2017=100,M,false,US,inflation,true
PCETRIM12M159SFRBDAL,fred,PCETRIM12M159SFRBDAL,US Trimmed Mean PCE YoY,Dallas Fed trimmed mean PCE inflation rate (12-month),percent,M,false,US,inflation,true
UNRATE,fred,UNRATE,US Unemployment Rate,Unemployment rate,percent,M,false,US,labor,true
PAYEMS,fred,PAYEMS,US Nonfarm Payrolls,All employees total nonfarm,Thous. of Persons,M,false,US,labor,true
JTSJOL,fred,JTSJOL,US Job Openings (JOLTS),Job openings total nonfarm,Level in Thous.,M,false,US,labor,true
CES0500000003,fred,CES0500000003,US Avg Hourly Earnings,Average hourly earnings of all employees total private,$ per Hour,M,false,US,labor,true
ICSA,fred,ICSA,US Initial Jobless Claims,Initial claims,Number,W,false,US,labor,true
CCSA,fred,CCSA,US Continued Jobless Claims,Continued claims (insured unemployment),Number,W,false,US,labor,true
GDPC1,fred,GDPC1,US Real GDP,Real gross domestic product,Bil. of Chn. 2017 $,Q,false,US,growth,true
INDPRO,fred,INDPRO,US Industrial Production,Industrial production: total index,Index 2017=100,M,false,US,growth,true
RSXFS,fred,RSXFS,US Retail Sales,Advance retail sales: retail trade,Mil. of $,M,false,US,growth,true
HOUST,fred,HOUST,US Housing Starts,New privately-owned housing units started: total,Thous. of Units,M,false,US,growth,true
CSUSHPISA,fred,CSUSHPISA,US Case-Shiller Home Price,S&P Cotality Case-Shiller US national home price index,Index Jan 2000=100,M,false,US,growth,true
UMCSENT,fred,UMCSENT,US Consumer Sentiment,University of Michigan consumer sentiment,Index 1966:Q1=100,M,false,US,sentiment,true
M2SL,fred,M2SL,US M2 Money Supply,M2 money stock,Bil. of $,M,false,US,money,true
WALCL,fred,WALCL,Fed Balance Sheet,Assets: total assets of the Federal Reserve (Wednesday level),Mil. of U.S. $,W,false,US,money,true
RRPONTSYD,fred,RRPONTSYD,Fed ON RRP,Overnight reverse repurchase agreements: Treasury securities sold,Bil. of US $,D,false,US,money,true
DCOILWTICO,fred,DCOILWTICO,WTI Crude Spot,Crude oil prices: West Texas Intermediate (WTI) - Cushing,$ per Barrel,D,false,US,commodity,true
DCOILBRENTEU,fred,DCOILBRENTEU,Brent Crude Spot,Crude oil prices: Brent - Europe,$ per Barrel,D,false,US,commodity,true
DHHNGSP,fred,DHHNGSP,Henry Hub Natural Gas,Henry Hub natural gas spot price,$ Per Mil. BTU,D,false,US,commodity,true
PCOPPUSDM,fred,PCOPPUSDM,Global Copper Price,Global price of copper,U.S. $ per Metric Ton,M,false,US,commodity,true
PALUMUSDM,fred,PALUMUSDM,Global Aluminum Price,Global price of aluminum,U.S. $ per Metric Ton,M,false,US,commodity,true
PZINCUSDM,fred,PZINCUSDM,Global Zinc Price,Global price of zinc,U.S. $ per Metric Ton,M,false,US,commodity,true
PCOCOUSDM,fred,PCOCOUSDM,Global Cocoa Price,Global price of cocoa,U.S. $ per Metric Ton,M,false,US,commodity,true
PWHEAMTUSDM,fred,PWHEAMTUSDM,Global Wheat Price,Global price of wheat,U.S. $ per Metric Ton,M,false,US,commodity,true
PIORECRUSDM,fred,PIORECRUSDM,Global Iron Ore Price,Global price of iron ore,U.S. $ per Metric Ton,M,false,US,commodity,true
PNGASEUUSDM,fred,PNGASEUUSDM,EU Natural Gas Price,Global price of natural gas EU,U.S. $ per Mil. Metric British Thermal Unit,M,false,US,commodity,true
PNGASJPUSDM,fred,PNGASJPUSDM,LNG Asia Price,Global price of LNG Asia,U.S. $ per Mil. Metric British Thermal Unit,M,false,US,commodity,true
PALLFNFINDEXM,fred,PALLFNFINDEXM,All Commodities Price Index,Global price index of all commodities,Index 2016 = 100,M,false,US,commodity,true
PNRGINDEXM,fred,PNRGINDEXM,Energy Price Index,Global price of energy index,Index 2016 = 100,M,false,US,commodity,true
PPIACO,fred,PPIACO,US PPI All Commodities,Producer price index by commodity: all commodities,Index 1982=100,M,false,US,commodity,true
SP500,fred,SP500,S&P 500,S&P 500 index,index,D,false,US,equity,true
NASDAQCOM,fred,NASDAQCOM,NASDAQ Composite,NASDAQ Composite index,Index Feb 5 1971=100,D,false,US,equity,true
NASDAQ100,fred,NASDAQ100,NASDAQ-100,NASDAQ-100 index,index,D,false,US,equity,true
DJIA,fred,DJIA,Dow Jones Industrial Average,Dow Jones Industrial Average,index,D,false,US,equity,true
GVZCLS,fred,GVZCLS,CBOE Gold ETF Volatility,CBOE Gold ETF Volatility Index,index,D,false,US,volatility,true
RVXCLS,fred,RVXCLS,CBOE Russell 2000 Volatility,CBOE Russell 2000 Volatility Index,index,D,false,US,volatility,true
DE2Y,bundesbank,BBSSY/D.REN.EUR.A610.000000WT0202.A,German 2Y Bund Yield,Daily yield of the current 2-year German federal note,percent,D,false,DE,yield,true
DE5Y,bundesbank,BBSSY/D.REN.EUR.A620.000000WT0505.A,German 5Y Bund Yield,Daily yield of the current 5-year German federal bond (Bundesobligation),percent,D,false,DE,yield,true
DE10Y,bundesbank,BBSSY/D.REN.EUR.A630.000000WT1010.A,German 10Y Bund Yield,Daily yield of the current 10-year German federal bond,percent,D,false,DE,yield,true
ECB_HICP,ecb,ICP/M.U2.N.000000.4.ANR,EA HICP YoY,Euro area HICP overall index annual rate of change,percent,M,false,EA,inflation,true
ECB_HICP_CORE,ecb,ICP/M.U2.N.XEF000.4.ANR,EA Core HICP YoY,Euro area HICP all-items excluding energy and food annual rate,percent,M,false,EA,inflation,true
ECB_UNRATE,ecb,LFSI/M.U2.S.UNEHRT.TOTAL0.15_74.T,EA Unemployment Rate,Euro area unemployment rate age 15 to 74 seasonally adjusted,percent,M,false,EA,labor,true
DE_TS_6M,bundesbank,BBSIS/D.I.ZST.ZI.EUR.S1311.B.A604.R005X.R.A.A._Z._Z.A,German Bund Term Structure 6M,Svensson-fitted term structure of listed German federal securities residual maturity 0.5 years,percent,D,false,DE,yield,true
DE_TS_1Y,bundesbank,BBSIS/D.I.ZST.ZI.EUR.S1311.B.A604.R01XX.R.A.A._Z._Z.A,German Bund Term Structure 1Y,Svensson-fitted term structure of listed German federal securities residual maturity 1.0 years,percent,D,false,DE,yield,true
DE_TS_2Y,bundesbank,BBSIS/D.I.ZST.ZI.EUR.S1311.B.A604.R02XX.R.A.A._Z._Z.A,German Bund Term Structure 2Y,Svensson-fitted term structure of listed German federal securities residual maturity 2.0 years,percent,D,false,DE,yield,true
DE_TS_3Y,bundesbank,BBSIS/D.I.ZST.ZI.EUR.S1311.B.A604.R03XX.R.A.A._Z._Z.A,German Bund Term Structure 3Y,Svensson-fitted term structure of listed German federal securities residual maturity 3.0 years,percent,D,false,DE,yield,true
DE_TS_4Y,bundesbank,BBSIS/D.I.ZST.ZI.EUR.S1311.B.A604.R04XX.R.A.A._Z._Z.A,German Bund Term Structure 4Y,Svensson-fitted term structure of listed German federal securities residual maturity 4.0 years,percent,D,false,DE,yield,true
DE_TS_5Y,bundesbank,BBSIS/D.I.ZST.ZI.EUR.S1311.B.A604.R05XX.R.A.A._Z._Z.A,German Bund Term Structure 5Y,Svensson-fitted term structure of listed German federal securities residual maturity 5.0 years,percent,D,false,DE,yield,true
DE_TS_6Y,bundesbank,BBSIS/D.I.ZST.ZI.EUR.S1311.B.A604.R06XX.R.A.A._Z._Z.A,German Bund Term Structure 6Y,Svensson-fitted term structure of listed German federal securities residual maturity 6.0 years,percent,D,false,DE,yield,true
DE_TS_7Y,bundesbank,BBSIS/D.I.ZST.ZI.EUR.S1311.B.A604.R07XX.R.A.A._Z._Z.A,German Bund Term Structure 7Y,Svensson-fitted term structure of listed German federal securities residual maturity 7.0 years,percent,D,false,DE,yield,true
DE_TS_8Y,bundesbank,BBSIS/D.I.ZST.ZI.EUR.S1311.B.A604.R08XX.R.A.A._Z._Z.A,German Bund Term Structure 8Y,Svensson-fitted term structure of listed German federal securities residual maturity 8.0 years,percent,D,false,DE,yield,true
DE_TS_9Y,bundesbank,BBSIS/D.I.ZST.ZI.EUR.S1311.B.A604.R09XX.R.A.A._Z._Z.A,German Bund Term Structure 9Y,Svensson-fitted term structure of listed German federal securities residual maturity 9.0 years,percent,D,false,DE,yield,true
DE_TS_10Y,bundesbank,BBSIS/D.I.ZST.ZI.EUR.S1311.B.A604.R10XX.R.A.A._Z._Z.A,German Bund Term Structure 10Y,Svensson-fitted term structure of listed German federal securities residual maturity 10.0 years,percent,D,false,DE,yield,true
DE_TS_11Y,bundesbank,BBSIS/D.I.ZST.ZI.EUR.S1311.B.A604.R11XX.R.A.A._Z._Z.A,German Bund Term Structure 11Y,Svensson-fitted term structure of listed German federal securities residual maturity 11.0 years,percent,D,false,DE,yield,true
DE_TS_12Y,bundesbank,BBSIS/D.I.ZST.ZI.EUR.S1311.B.A604.R12XX.R.A.A._Z._Z.A,German Bund Term Structure 12Y,Svensson-fitted term structure of listed German federal securities residual maturity 12.0 years,percent,D,false,DE,yield,true
DE_TS_13Y,bundesbank,BBSIS/D.I.ZST.ZI.EUR.S1311.B.A604.R13XX.R.A.A._Z._Z.A,German Bund Term Structure 13Y,Svensson-fitted term structure of listed German federal securities residual maturity 13.0 years,percent,D,false,DE,yield,true
DE_TS_14Y,bundesbank,BBSIS/D.I.ZST.ZI.EUR.S1311.B.A604.R14XX.R.A.A._Z._Z.A,German Bund Term Structure 14Y,Svensson-fitted term structure of listed German federal securities residual maturity 14.0 years,percent,D,false,DE,yield,true
DE_TS_15Y,bundesbank,BBSIS/D.I.ZST.ZI.EUR.S1311.B.A604.R15XX.R.A.A._Z._Z.A,German Bund Term Structure 15Y,Svensson-fitted term structure of listed German federal securities residual maturity 15.0 years,percent,D,false,DE,yield,true
DE_TS_16Y,bundesbank,BBSIS/D.I.ZST.ZI.EUR.S1311.B.A604.R16XX.R.A.A._Z._Z.A,German Bund Term Structure 16Y,Svensson-fitted term structure of listed German federal securities residual maturity 16.0 years,percent,D,false,DE,yield,true
DE_TS_17Y,bundesbank,BBSIS/D.I.ZST.ZI.EUR.S1311.B.A604.R17XX.R.A.A._Z._Z.A,German Bund Term Structure 17Y,Svensson-fitted term structure of listed German federal securities residual maturity 17.0 years,percent,D,false,DE,yield,true
DE_TS_18Y,bundesbank,BBSIS/D.I.ZST.ZI.EUR.S1311.B.A604.R18XX.R.A.A._Z._Z.A,German Bund Term Structure 18Y,Svensson-fitted term structure of listed German federal securities residual maturity 18.0 years,percent,D,false,DE,yield,true
DE_TS_19Y,bundesbank,BBSIS/D.I.ZST.ZI.EUR.S1311.B.A604.R19XX.R.A.A._Z._Z.A,German Bund Term Structure 19Y,Svensson-fitted term structure of listed German federal securities residual maturity 19.0 years,percent,D,false,DE,yield,true
DE_TS_20Y,bundesbank,BBSIS/D.I.ZST.ZI.EUR.S1311.B.A604.R20XX.R.A.A._Z._Z.A,German Bund Term Structure 20Y,Svensson-fitted term structure of listed German federal securities residual maturity 20.0 years,percent,D,false,DE,yield,true
DE_TS_21Y,bundesbank,BBSIS/D.I.ZST.ZI.EUR.S1311.B.A604.R21XX.R.A.A._Z._Z.A,German Bund Term Structure 21Y,Svensson-fitted term structure of listed German federal securities residual maturity 21.0 years,percent,D,false,DE,yield,true
DE_TS_22Y,bundesbank,BBSIS/D.I.ZST.ZI.EUR.S1311.B.A604.R22XX.R.A.A._Z._Z.A,German Bund Term Structure 22Y,Svensson-fitted term structure of listed German federal securities residual maturity 22.0 years,percent,D,false,DE,yield,true
DE_TS_23Y,bundesbank,BBSIS/D.I.ZST.ZI.EUR.S1311.B.A604.R23XX.R.A.A._Z._Z.A,German Bund Term Structure 23Y,Svensson-fitted term structure of listed German federal securities residual maturity 23.0 years,percent,D,false,DE,yield,true
DE_TS_24Y,bundesbank,BBSIS/D.I.ZST.ZI.EUR.S1311.B.A604.R24XX.R.A.A._Z._Z.A,German Bund Term Structure 24Y,Svensson-fitted term structure of listed German federal securities residual maturity 24.0 years,percent,D,false,DE,yield,true
DE_TS_25Y,bundesbank,BBSIS/D.I.ZST.ZI.EUR.S1311.B.A604.R25XX.R.A.A._Z._Z.A,German Bund Term Structure 25Y,Svensson-fitted term structure of listed German federal securities residual maturity 25.0 years,percent,D,false,DE,yield,true
DE_TS_26Y,bundesbank,BBSIS/D.I.ZST.ZI.EUR.S1311.B.A604.R26XX.R.A.A._Z._Z.A,German Bund Term Structure 26Y,Svensson-fitted term structure of listed German federal securities residual maturity 26.0 years,percent,D,false,DE,yield,true
DE_TS_27Y,bundesbank,BBSIS/D.I.ZST.ZI.EUR.S1311.B.A604.R27XX.R.A.A._Z._Z.A,German Bund Term Structure 27Y,Svensson-fitted term structure of listed German federal securities residual maturity 27.0 years,percent,D,false,DE,yield,true
DE_TS_28Y,bundesbank,BBSIS/D.I.ZST.ZI.EUR.S1311.B.A604.R28XX.R.A.A._Z._Z.A,German Bund Term Structure 28Y,Svensson-fitted term structure of listed German federal securities residual maturity 28.0 years,percent,D,false,DE,yield,true
DE_TS_29Y,bundesbank,BBSIS/D.I.ZST.ZI.EUR.S1311.B.A604.R29XX.R.A.A._Z._Z.A,German Bund Term Structure 29Y,Svensson-fitted term structure of listed German federal securities residual maturity 29.0 years,percent,D,false,DE,yield,true
DE_TS_30Y,bundesbank,BBSIS/D.I.ZST.ZI.EUR.S1311.B.A604.R30XX.R.A.A._Z._Z.A,German Bund Term Structure 30Y,Svensson-fitted term structure of listed German federal securities residual maturity 30.0 years,percent,D,false,DE,yield,true
